category,method,seed,aggregation_rule,image_auroc,image_ap
carpet,autoencoder,123,percentile_95,0.38764044943820225,0.6949523778850719
carpet,autoencoder,123,top_1_percent_mean,0.39085072231139645,0.6964950890191244
carpet,autoencoder,123,gaussian_pooled_max,0.38643659711075445,0.6933495255438153
carpet,autoencoder,2026,global_max,0.37158908507223115,0.685504724815783
carpet,autoencoder,2026,percentile_99,0.37158908507223115,0.685504724815783
carpet,autoencoder,2026,percentile_95,0.3695826645264848,0.6829250848511512
carpet,autoencoder,2026,top_1_percent_mean,0.37158908507223115,0.685504724815783
carpet,autoencoder,2026,gaussian_pooled_max,0.365569823434992,0.6824940439281104
carpet,autoencoder,42,global_max,0.3804173354735153,0.6864859552151724
carpet,autoencoder,42,percentile_99,0.3796147672552167,0.6863065265542935
carpet,autoencoder,42,percentile_95,0.37881219903691815,0.6870912897363237
carpet,autoencoder,42,top_1_percent_mean,0.380016051364366,0.6863915354247843
carpet,autoencoder,42,gaussian_pooled_max,0.3804173354735153,0.6876691885364471
carpet,padim,123,global_max,0.9634831460674158,0.9892600269656852
carpet,padim,123,percentile_99,0.9634831460674158,0.9892877324231917
carpet,padim,123,percentile_95,0.9626805778491171,0.9890497774099558
carpet,padim,123,top_1_percent_mean,0.9634831460674158,0.9892877324231917
carpet,padim,123,gaussian_pooled_max,0.9626805778491172,0.9889623763595836
carpet,padim,2026,global_max,0.9634831460674158,0.9892877324231917
carpet,padim,2026,percentile_99,0.963884430176565,0.9893953591554614
carpet,padim,2026,percentile_95,0.9634831460674157,0.9893134590735614
carpet,padim,2026,top_1_percent_mean,0.9642857142857142,0.9895258973596426
carpet,padim,2026,gaussian_pooled_max,0.9602728731942215,0.9882997710207586
carpet,padim,42,global_max,0.963884430176565,0.9893905651698662
carpet,padim,42,percentile_99,0.963884430176565,0.9893953591554614
carpet,padim,42,percentile_95,0.9630818619582665,0.989178126883785
carpet,padim,42,top_1_percent_mean,0.9634831460674158,0.9892600269656852
carpet,padim,42,gaussian_pooled_max,0.9630818619582664,0.9890997371375874
carpet,patchcore,123,global_max,0.9839486356340289,0.9955564658131948
carpet,patchcore,123,percentile_99,0.9839486356340289,0.9955564658131948
carpet,patchcore,123,percentile_95,0.9839486356340289,0.9955564658131948
carpet,patchcore,123,top_1_percent_mean,0.9839486356340289,0.9955564658131948
carpet,patchcore,123,gaussian_pooled_max,0.9831460674157304,0.9953240316101474
carpet,patchcore,2026,global_max,0.9839486356340289,0.9955564658131948
carpet,patchcore,2026,percentile_99,0.9835473515248796,0.9954384814255475
carpet,patchcore,2026,percentile_95,0.9839486356340289,0.9955564658131948
carpet,patchcore,2026,top_1_percent_mean,0.9835473515248796,0.9954384814255475
carpet,patchcore,2026,gaussian_pooled_max,0.9835473515248796,0.9955006285271646
carpet,patchcore,42,global_max,0.9835473515248796,0.9954384814255475
carpet,patchcore,42,percentile_99,0.9839486356340289,0.9955564658131948
carpet,patchcore,42,percentile_95,0.9839486356340289,0.9955564658131948
carpet,patchcore,42,top_1_percent_mean,0.9839486356340289,0.9955564658131948
carpet,patchcore,42,gaussian_pooled_max,0.9823434991974318,0.9951290455338775
hazelnut,autoencoder,123,global_max,0.7896428571428571,0.8757401154772142
hazelnut,autoencoder,123,percentile_99,0.79,0.8759066156437143
hazelnut,autoencoder,123,percentile_95,0.7889285714285714,0.8753155917233848
hazelnut,autoencoder,123,top_1_percent_mean,0.79,0.8759066156437143
hazelnut,autoencoder,123,gaussian_pooled_max,0.7896428571428571,0.876694598148928
hazelnut,autoencoder,2026,global_max,0.7778571428571429,0.8692838886321268
hazelnut,autoencoder,2026,percentile_99,0.7778571428571429,0.8693193584489498
hazelnut,autoencoder,2026,percentile_95,0.7775,0.8687320610866958
hazelnut,autoencoder,2026,top_1_percent_mean,0.7782142857142857,0.8694183683499399
hazelnut,autoencoder,2026,gaussian_pooled_max,0.7782142857142857,0.869331356581529
hazelnut,autoencoder,42,global_max,0.7675,0.8648902507409308
hazelnut,autoencoder,42,percentile_99,0.7675,0.8648902507409308
hazelnut,autoencoder,42,percentile_95,0.7678571428571429,0.8650203212876681
hazelnut,autoencoder,42,top_1_percent_mean,0.7675,0.8648902507409308
